date,state,fips,cases,deaths,population,cases_prop
2020-02-23,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-23,Nebraska,31,11,0,1934408,0.5686494265945964
2020-02-23,Texas,48,4,0,28995881,0.013795062822888534
2020-02-23,Washington,53,1,0,7614893,0.013132160885254724
2020-02-23,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-24,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-24,California,06,11,0,39512223,0.02783948653053512
2020-02-24,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-24,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-24,Nebraska,31,12,0,1934408,0.620344829012287
2020-02-24,Texas,48,10,0,28995881,0.03448765705722133
2020-02-24,Washington,53,5,0,7614893,0.06566080442627362
2020-02-24,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-25,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-25,California,06,11,0,39512223,0.02783948653053512
2020-02-25,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-25,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-25,Nebraska,31,13,0,1934408,0.6720402314299776
2020-02-25,Texas,48,10,0,28995881,0.03448765705722133
2020-02-25,Utah,49,1,0,3205958,0.03119192453550546
2020-02-25,Washington,53,5,0,7614893,0.06566080442627362
2020-02-25,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-26,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-26,California,06,26,0,39512223,0.06580242270853756
2020-02-26,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-26,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-26,Nebraska,31,13,0,1934408,0.6720402314299776
2020-02-26,Texas,48,10,0,28995881,0.03448765705722133
2020-02-26,Utah,49,1,0,3205958,0.03119192453550546
2020-02-26,Washington,53,5,0,7614893,0.06566080442627362
2020-02-26,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-27,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-27,California,06,26,0,39512223,0.06580242270853756
2020-02-27,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-27,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-27,Nebraska,31,13,0,1934408,0.6720402314299776
2020-02-27,Texas,48,10,0,28995881,0.03448765705722133
2020-02-27,Utah,49,1,0,3205958,0.03119192453550546
2020-02-27,Washington,53,5,0,7614893,0.06566080442627362
2020-02-27,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-28,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-28,California,06,27,0,39512223,0.06833328512040439
2020-02-28,Illinois,17,2,0,12671821,0.01578305122839093
2020-02-28,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-28,Nebraska,31,13,0,1934408,0.6720402314299776
2020-02-28,Oregon,41,1,0,4217737,0.023709396768930826
2020-02-28,Texas,48,11,0,28995881,0.03793642276294347
2020-02-28,Utah,49,1,0,3205958,0.03119192453550546
2020-02-28,Washington,53,7,0,7614893,0.09192512619678307
2020-02-28,Wisconsin,55,1,0,5822434,0.017174947796746172
2020-02-29,Arizona,04,1,0,7278717,0.013738684990775159
2020-02-29,California,06,28,0,39512223,0.07086414753227122
2020-02-29,Illinois,17,3,0,12671821,0.023674576842586396
2020-02-29,Massachusetts,25,1,0,6949503,0.014389518214467998
2020-02-29,Nebraska,31,13,0,1934408,0.6720402314299776
2020-02-29,Oregon,41,1,0,4217737,0.023709396768930826
2020-02-29,Texas,48,11,0,28995881,0.03793642276294347
2020-02-29,Utah,49,1,0,3205958,0.03119192453550546
